"lang"
{
"Language"	"finnish"
"Tokens"
{
"L4D_DifficultyEasy"	"Helppo"
"[english]L4D_DifficultyEasy"	"Easy"
"L4D_DifficultyNormal"	"Normaali"
"[english]L4D_DifficultyNormal"	"Normal"
"L4D_DifficultyHard"	"Vaativa"
"[english]L4D_DifficultyHard"	"Advanced"
"L4D_DifficultyImpossible"	"Mestari"
"[english]L4D_DifficultyImpossible"	"Expert"
"L4D_skill_reminder"	"Vaihda taitoa painamalla %s1-näppäintä"
"[english]L4D_skill_reminder"	"Press %s1 to change your skill."
"L4D_idle_spectator"	"%s1 on nyt toimeton."
"[english]L4D_idle_spectator"	"%s1 is now idle."
"L4D_Scoreboard_Spectator"	"Katsoja: %s1"
"[english]L4D_Scoreboard_Spectator"	"Spectator: %s1"
"L4D_Scoreboard_Spectators"	"Katsojat (%s1): %s2"
"[english]L4D_Scoreboard_Spectators"	"Spectators (%s1): %s2"
"L4D_Scoreboard_Dead"	"KUOLLUT"
"[english]L4D_Scoreboard_Dead"	"DEAD"
"L4D_Scoreboard_Incapacitated"	"MAASSA"
"[english]L4D_Scoreboard_Incapacitated"	"DOWN"
"L4D_Scoreboard_IT"	"MERKITTY"
"[english]L4D_Scoreboard_IT"	"IT"
"L4D_Scoreboard_Spawning"	"SYNTYY"
"[english]L4D_Scoreboard_Spawning"	"SPAWNING"
"L4D_Scoreboard_Bot"	"Botti"
"[english]L4D_Scoreboard_Bot"	"Bot"
"L4D_Scoreboard_s_Loading"	"LADATAAN"
"[english]L4D_Scoreboard_s_Loading"	"LOADING"
"L4D_Scoreboard_pz_Loading"	"%s1 (LADATAAN)"
"[english]L4D_Scoreboard_pz_Loading"	"%s1 (LOADING)"
"L4D_Scoreboard_InfectedPlayers"	"Saastuneet pelaajat"
"[english]L4D_Scoreboard_InfectedPlayers"	"Infected Players"
"L4D_Scoreboard_Status"	"Tila"
"[english]L4D_Scoreboard_Status"	"Status"
"L4D_Scoreboard_Score"	"Pisteet"
"[english]L4D_Scoreboard_Score"	"Score"
"L4D_Scoreboard_Deaths"	"Kuolemat"
"[english]L4D_Scoreboard_Deaths"	"Deaths"
"L4D_Scoreboard_Ping"	"Ping"
"[english]L4D_Scoreboard_Ping"	"Ping"
"L4D_Scoreboard_SurvivorPlayers"	"Selviytyjät"
"[english]L4D_Scoreboard_SurvivorPlayers"	"Survivors"
"L4D_Scoreboard_Current_Map"	"Nyt pelaamassa"
"[english]L4D_Scoreboard_Current_Map"	"Now Playing"
"L4D_Scoreboard_Rescue_Map"	"Pelastus"
"[english]L4D_Scoreboard_Rescue_Map"	"Rescue"
"L4D_Scoreboard_Opponent_Map"	"Saastuneiden tilanne"
"[english]L4D_Scoreboard_Opponent_Map"	"Infected Progress"
"L4D_Scoreboard_PZScore"	"TILANNE"
"[english]L4D_Scoreboard_PZScore"	"SCORE"
"L4D_Scoreboard_Idle"	"TOIMETON"
"[english]L4D_Scoreboard_Idle"	"IDLE"
"L4D_Scoreboard_Select_Player"	"Valitse pelaaja"
"[english]L4D_Scoreboard_Select_Player"	"Select Player"
"L4D_Scoreboard_View_GamerCard"	"Näytä pelaajakortti"
"[english]L4D_Scoreboard_View_GamerCard"	"View Gamer Card"
"L4D_Scoreboard_Vote_Kick"	"Äänestys pelaajan erottamisesta"
"[english]L4D_Scoreboard_Vote_Kick"	"Vote to Kick Player"
"L4D_Realism"	"Realismi"
"[english]L4D_Realism"	"Realism"
"L4D_Versus"	"Versus-tila"
"[english]L4D_Versus"	"Versus Mode"
"L4D_VSScoreboard_Title"	"Versus-tilan pisteet"
"[english]L4D_VSScoreboard_Title"	"Versus Mode Scores"
"L4D_VSScoreboard_YourTeam"	"Tiimisi"
"[english]L4D_VSScoreboard_YourTeam"	"Your Team"
"L4D_VSScoreboard_EnemyTeam"	"Vihollistiimi"
"[english]L4D_VSScoreboard_EnemyTeam"	"Enemy Team"
"L4D_VSScoreboard_Unplayed"	"-"
"[english]L4D_VSScoreboard_Unplayed"	"N/A"
"L4D_VSScoreboard_Distance"	"Keskimäärin kuljettu matka:"
"[english]L4D_VSScoreboard_Distance"	"Average Distance Travelled:"
"L4D_VSScoreboard_DistanceShort"	"Keskimääräinen etäisyys:"
"[english]L4D_VSScoreboard_DistanceShort"	"Average Distance:"
"L4D_VSScoreboard_Completion"	"Pisteet:"
"[english]L4D_VSScoreboard_Completion"	"Completion Score:"
"L4D_VSScoreboard_SurvivalBonus"	"Selviytymisbonus:"
"[english]L4D_VSScoreboard_SurvivalBonus"	"Survival Bonus:"
"L4D_VSScoreboard_Health"	"Terveysbonus:"
"[english]L4D_VSScoreboard_Health"	"Health Bonus:"
"L4D_VSScoreboard_SurvivalMult"	"Selviytyjien kerroin:"
"[english]L4D_VSScoreboard_SurvivalMult"	"Survival Multiplier:"
"L4D_VS_Shutdown_Title"	"PALVELIN SAMMUTETAAN"
"[english]L4D_VS_Shutdown_Title"	"SERVER SHUTTING DOWN"
"L4D_VS_Shutdown"	"Kilpailutiloissa kummassakin tiimissä on oltava ihmispelaajia."
"[english]L4D_VS_Shutdown"	"Competitive modes require human players on both teams."
"L4D_Survival"	"Selviytymistila"
"[english]L4D_Survival"	"Survival Mode"
"L4D_SurvivalScoreboard_FinalTime"	"Lopullinen aika:"
"[english]L4D_SurvivalScoreboard_FinalTime"	"Final Time:"
"L4D_SurvivalScoreboard_BestTime"	"Paras aika"
"[english]L4D_SurvivalScoreboard_BestTime"	"Best Time"
"L4D_SurvivalScoreboard_Players"	"Pelaajat"
"[english]L4D_SurvivalScoreboard_Players"	"Players"
"L4D_SurvivalTimer_YourBest"	"Paras tuloksesi"
"[english]L4D_SurvivalTimer_YourBest"	"Your Best"
"L4D_SurvivalTimer_TeamBest"	"Tiimin paras tulos"
"[english]L4D_SurvivalTimer_TeamBest"	"Team Best"
"L4D_SurvivalTimer_DescriptionFmt"	"Paras tulos, %s1"
"[english]L4D_SurvivalTimer_DescriptionFmt"	"%s1's Best"
"L4D_SurvivalTimer_Description_Gold"	"Kulta - standardi"
"[english]L4D_SurvivalTimer_Description_Gold"	"Gold Standard"
"L4D_SurvivalTimer_Description_Silver"	"Hopea - standardi"
"[english]L4D_SurvivalTimer_Description_Silver"	"Silver Standard"
"L4D_SurvivalTimer_Description_Bronze"	"Pronssi - standardi"
"[english]L4D_SurvivalTimer_Description_Bronze"	"Bronze Standard"
"L4D_SurvivalTimer_Description_TeamRecord"	"Tiimin ennätys"
"[english]L4D_SurvivalTimer_Description_TeamRecord"	"Team Record"
"L4D_SurvivalTimer_Description_WorldRecord"	"Maailmanennätys"
"[english]L4D_SurvivalTimer_Description_WorldRecord"	"World Record"
"L4D_SurvivalTimer_Description_KeepGoing"	"Uusi tiimin ennätys!"
"[english]L4D_SurvivalTimer_Description_KeepGoing"	"New Team Record!"
"L4D_BronzeMedalEarned"	"%s1 ansaitsi pronssimitalin!"
"[english]L4D_BronzeMedalEarned"	"%s1 earned the Bronze Medal!"
"L4D_SilverMedalEarned"	"%s1 ansaitsi hopeamitalin!"
"[english]L4D_SilverMedalEarned"	"%s1 earned the Silver Medal!"
"L4D_GoldMedalEarned"	"%s1 ansaitsi kultamitalin!"
"[english]L4D_GoldMedalEarned"	"%s1 earned the Gold Medal!"
"L4D_Scavenge"	"Keräilytila"
"[english]L4D_Scavenge"	"Scavenge Mode"
"L4D_Scavenge_Round_Current"	"Nykyinen erä"
"[english]L4D_Scavenge_Round_Current"	"Current Round"
"L4D_Scavenge_RoundLimit"	"Pelataan paras %s1 erästä"
"[english]L4D_Scavenge_RoundLimit"	"Playing Best of %s1"
"L4D_Scavenge_TeamFlip"	"VALMISTAUDU PUOLENVAIHTOON"
"[english]L4D_Scavenge_TeamFlip"	"PREPARE TO CHANGE SIDES"
"L4D_Scavenge_NextRound"	"VALMISTAUDU ERÄÄN %s1"
"[english]L4D_Scavenge_NextRound"	"PREPARE FOR ROUND %s1"
"L4D_Scavenge_EnemyFirst"	"Vihollistiimi pelaa ensin erässä %s1"
"[english]L4D_Scavenge_EnemyFirst"	"Enemy team will play first in Round %s1"
"L4D_Scavenge_YouFirst"	"Sinun tiimisi pelaa ensin erässä %s1"
"[english]L4D_Scavenge_YouFirst"	"You will play first in Round %s1"
"L4D_Scavenge_Tie"	"TASAPELI"
"[english]L4D_Scavenge_Tie"	"TIE GAME"
"L4D_Scavenge_RoundWon"	"VOITIT ERÄN"
"[english]L4D_Scavenge_RoundWon"	"YOU WON THAT ROUND"
"L4D_Scavenge_RoundLost"	"HÄVISIT ERÄN"
"[english]L4D_Scavenge_RoundLost"	"YOU LOST THAT ROUND"
"L4D_Scavenge_MatchWon"	"VOITIT MATSIN!"
