"lang"
{
"Language"	"spanish"
"Tokens"
{
"L4D_DifficultyEasy"	"Fácil"
"[english]L4D_DifficultyEasy"	"Easy"
"L4D_DifficultyNormal"	"Normal"
"[english]L4D_DifficultyNormal"	"Normal"
"L4D_DifficultyHard"	"Avanzado"
"[english]L4D_DifficultyHard"	"Advanced"
"L4D_DifficultyImpossible"	"Experto"
"[english]L4D_DifficultyImpossible"	"Expert"
"L4D_skill_reminder"	"Pulsa %s1 para cambiar de habilidad."
"[english]L4D_skill_reminder"	"Press %s1 to change your skill."
"L4D_idle_spectator"	"%s1 está inactivo."
"[english]L4D_idle_spectator"	"%s1 is now idle."
"L4D_Scoreboard_Spectator"	"Espectador: %s1"
"[english]L4D_Scoreboard_Spectator"	"Spectator: %s1"
"L4D_Scoreboard_Spectators"	"Espectadores (%s1): %s2"
"[english]L4D_Scoreboard_Spectators"	"Spectators (%s1): %s2"
"L4D_Scoreboard_Dead"	"MUERTO"
"[english]L4D_Scoreboard_Dead"	"DEAD"
"L4D_Scoreboard_Incapacitated"	"ABATIDO"
"[english]L4D_Scoreboard_Incapacitated"	"DOWN"
"L4D_Scoreboard_IT"	"VOMITADO"
"[english]L4D_Scoreboard_IT"	"IT"
"L4D_Scoreboard_Spawning"	"REGENERANDO"
"[english]L4D_Scoreboard_Spawning"	"SPAWNING"
"L4D_Scoreboard_Bot"	"Bot"
"[english]L4D_Scoreboard_Bot"	"Bot"
"L4D_Scoreboard_s_Loading"	"CARGANDO"
"[english]L4D_Scoreboard_s_Loading"	"LOADING"
"L4D_Scoreboard_pz_Loading"	"%s1 (CARGANDO)"
"[english]L4D_Scoreboard_pz_Loading"	"%s1 (LOADING)"
"L4D_Scoreboard_InfectedPlayers"	"Jugadores infectados"
"[english]L4D_Scoreboard_InfectedPlayers"	"Infected Players"
"L4D_Scoreboard_Status"	"Estado"
"[english]L4D_Scoreboard_Status"	"Status"
"L4D_Scoreboard_Score"	"Puntuación"
"[english]L4D_Scoreboard_Score"	"Score"
"L4D_Scoreboard_Deaths"	"Muertes"
"[english]L4D_Scoreboard_Deaths"	"Deaths"
"L4D_Scoreboard_Ping"	"Ping"
"[english]L4D_Scoreboard_Ping"	"Ping"
"L4D_Scoreboard_SurvivorPlayers"	"Supervivientes"
"[english]L4D_Scoreboard_SurvivorPlayers"	"Survivors"
"L4D_Scoreboard_Current_Map"	"En juego"
"[english]L4D_Scoreboard_Current_Map"	"Now Playing"
"L4D_Scoreboard_Rescue_Map"	"Rescate"
"[english]L4D_Scoreboard_Rescue_Map"	"Rescue"
"L4D_Scoreboard_Opponent_Map"	"Progreso de los infectados"
"[english]L4D_Scoreboard_Opponent_Map"	"Infected Progress"
"L4D_Scoreboard_PZScore"	"PUNTUACIÓN"
"[english]L4D_Scoreboard_PZScore"	"SCORE"
"L4D_Scoreboard_Idle"	"INACTIVO"
"[english]L4D_Scoreboard_Idle"	"IDLE"
"L4D_Scoreboard_Select_Player"	"Seleccionar jugador"
"[english]L4D_Scoreboard_Select_Player"	"Select Player"
"L4D_Scoreboard_View_GamerCard"	"Ver tarjeta de jugador"
"[english]L4D_Scoreboard_View_GamerCard"	"View Gamer Card"
"L4D_Scoreboard_Vote_Kick"	"Votar para expulsar a jugador"
"[english]L4D_Scoreboard_Vote_Kick"	"Vote to Kick Player"
"L4D_Realism"	"Realista"
"[english]L4D_Realism"	"Realism"
"L4D_Versus"	"Modo Enfrentamiento"
"[english]L4D_Versus"	"Versus Mode"
"L4D_VSScoreboard_Title"	"Puntuaciones del modo Enfrentamiento"
"[english]L4D_VSScoreboard_Title"	"Versus Mode Scores"
"L4D_VSScoreboard_YourTeam"	"Tu equipo"
"[english]L4D_VSScoreboard_YourTeam"	"Your Team"
"L4D_VSScoreboard_EnemyTeam"	"Equipo enemigo"
"[english]L4D_VSScoreboard_EnemyTeam"	"Enemy Team"
"L4D_VSScoreboard_Unplayed"	"N. d."
"[english]L4D_VSScoreboard_Unplayed"	"N/A"
"L4D_VSScoreboard_Distance"	"Distancia media recorrida:"
"[english]L4D_VSScoreboard_Distance"	"Average Distance Travelled:"
"L4D_VSScoreboard_DistanceShort"	"Distancia media:"
"[english]L4D_VSScoreboard_DistanceShort"	"Average Distance:"
"L4D_VSScoreboard_Completion"	"Puntuación por finalización:"
"[english]L4D_VSScoreboard_Completion"	"Completion Score:"
"L4D_VSScoreboard_SurvivalBonus"	"Bonificación de supervivencia:"
"[english]L4D_VSScoreboard_SurvivalBonus"	"Survival Bonus:"
"L4D_VSScoreboard_Health"	"Bonificación de salud:"
"[english]L4D_VSScoreboard_Health"	"Health Bonus:"
"L4D_VSScoreboard_SurvivalMult"	"Multiplicación por supervivencia:"
"[english]L4D_VSScoreboard_SurvivalMult"	"Survival Multiplier:"
"L4D_VS_Shutdown_Title"	"CERRANDO SERVIDOR"
"[english]L4D_VS_Shutdown_Title"	"SERVER SHUTTING DOWN"
"L4D_VS_Shutdown"	"El modo Enfrentamiento requiere jugadores humanos en ambos equipos."
"[english]L4D_VS_Shutdown"	"Competitive modes require human players on both teams."
"L4D_Survival"	"Modo Supervivencia"
"[english]L4D_Survival"	"Survival Mode"
"L4D_SurvivalScoreboard_FinalTime"	"Tiempo final:"
"[english]L4D_SurvivalScoreboard_FinalTime"	"Final Time:"
"L4D_SurvivalScoreboard_BestTime"	"Mejor tiempo"
"[english]L4D_SurvivalScoreboard_BestTime"	"Best Time"
"L4D_SurvivalScoreboard_Players"	"Jugadores"
"[english]L4D_SurvivalScoreboard_Players"	"Players"
"L4D_SurvivalTimer_YourBest"	"Tu mejor clasificación"
"[english]L4D_SurvivalTimer_YourBest"	"Your Best"
"L4D_SurvivalTimer_TeamBest"	"Mejor puntuación del equipo"
"[english]L4D_SurvivalTimer_TeamBest"	"Team Best"
"L4D_SurvivalTimer_DescriptionFmt"	"Mejor puntuación de %s1"
"[english]L4D_SurvivalTimer_DescriptionFmt"	"%s1's Best"
"L4D_SurvivalTimer_Description_Gold"	"Insignia de oro"
"[english]L4D_SurvivalTimer_Description_Gold"	"Gold Standard"
"L4D_SurvivalTimer_Description_Silver"	"Insignia de plata"
"[english]L4D_SurvivalTimer_Description_Silver"	"Silver Standard"
"L4D_SurvivalTimer_Description_Bronze"	"Insignia de bronce"
"[english]L4D_SurvivalTimer_Description_Bronze"	"Bronze Standard"
"L4D_SurvivalTimer_Description_TeamRecord"	"Récord del equipo"
"[english]L4D_SurvivalTimer_Description_TeamRecord"	"Team Record"
"L4D_SurvivalTimer_Description_WorldRecord"	"Récord mundial"
"[english]L4D_SurvivalTimer_Description_WorldRecord"	"World Record"
"L4D_SurvivalTimer_Description_KeepGoing"	"¡Nuevo récord del equipo!"
"[english]L4D_SurvivalTimer_Description_KeepGoing"	"New Team Record!"
"L4D_BronzeMedalEarned"	"¡%s1 ha ganado la medalla de bronce!"
"[english]L4D_BronzeMedalEarned"	"%s1 earned the Bronze Medal!"
"L4D_SilverMedalEarned"	"¡%s1 ha ganado la medalla de plata!"
"[english]L4D_SilverMedalEarned"	"%s1 earned the Silver Medal!"
"L4D_GoldMedalEarned"	"¡%s1 ha ganado la medalla de oro!"
"[english]L4D_GoldMedalEarned"	"%s1 earned the Gold Medal!"
"L4D_Scavenge"	"Modo de Búsqueda"
"[english]L4D_Scavenge"	"Scavenge Mode"
"L4D_Scavenge_Round_Current"	"Ronda actual"
"[english]L4D_Scavenge_Round_Current"	"Current Round"
"L4D_Scavenge_RoundLimit"	"Jugando al mejor de %s1"
"[english]L4D_Scavenge_RoundLimit"	"Playing Best of %s1"
"L4D_Scavenge_TeamFlip"	"PREPARAOS PARA CAMBIAR DE BANDO"
"[english]L4D_Scavenge_TeamFlip"	"PREPARE TO CHANGE SIDES"
"L4D_Scavenge_NextRound"	"PREPARAOS PARA LA RONDA %s1"
"[english]L4D_Scavenge_NextRound"	"PREPARE FOR ROUND %s1"
"L4D_Scavenge_EnemyFirst"	"El equipo rival jugará primero en la ronda %s1"
"[english]L4D_Scavenge_EnemyFirst"	"Enemy team will play first in Round %s1"
"L4D_Scavenge_YouFirst"	"Jugaréis primero en la ronda %s1"
"[english]L4D_Scavenge_YouFirst"	"You will play first in Round %s1"
"L4D_Scavenge_Tie"	"EMPATE"
"[english]L4D_Scavenge_Tie"	"TIE GAME"
"L4D_Scavenge_RoundWon"	"HABÉIS GANADO LA RONDA"
"[english]L4D_Scavenge_RoundWon"	"YOU WON THAT ROUND"
"L4D_Scavenge_RoundLost"	"HABÉIS PERDIDO LA RONDA"
"[english]L4D_Scavenge_RoundLost"	"YOU LOST THAT ROUND"
"L4D_Scavenge_MatchWon"	"¡HABÉIS GANADO LA PARTIDA!"
